fotograma,tipo_objeto,confianza_obj,identificador_tracking,x1,y1,x2,y2,confianza_matricula,mx1,my1,mx2,my2,texto_easyocr,tiempo_easyocr,texto_smolvlm,tiempo_smolvlm
1,bus,0.9358580708503723,1,1402,52,1918,476,0.0,0,0,0,0,,0.0,,0.0
1,car,0.8436853289604187,2,1321,312,1398,371,0.0,0,0,0,0,,0.0,,0.0
1,car,0.4911165237426758,3,1231,313,1279,343,0.0,0,0,0,0,,0.0,,0.0
1,car,0.3487244248390198,4,1281,318,1320,343,0.0,0,0,0,0,,0.0,,0.0
1,car,0.2971400320529938,5,1274,315,1312,343,0.0,0,0,0,0,,0.0,,0.0
2,bus,0.9329406023025513,1,1402,56,1918,471,0.330438494682312,0,0,0,0,,0.0,,0.0
2,car,0.8147026896476746,2,1321,312,1397,371,0.0,0,0,0,0,,0.0,,0.0
2,car,0.47764647006988525,3,1231,313,1279,342,0.0,0,0,0,0,,0.0,,0.0
2,car,0.3268485963344574,4,1282,318,1320,343,0.0,0,0,0,0,,0.0,,0.0
2,car,0.2855921685695648,5,1273,315,1309,343,0.0,0,0,0,0,,0.0,,0.0
3,bus,0.9364160895347595,1,1395,63,1918,467,0.0,0,0,0,0,,0.0,,0.0
3,car,0.8187425136566162,2,1320,312,1395,371,0.0,0,0,0,0,,0.0,,0.0
3,car,0.4439318776130676,3,1230,313,1278,342,0.0,0,0,0,0,,0.0,,0.0
3,car,0.3157707750797272,4,1281,318,1320,343,0.0,0,0,0,0,,0.0,,0.0
3,car,0.27293860912323,5,1273,315,1311,342,0.0,0,0,0,0,,0.0,,0.0
4,bus,0.9000029563903809,1,1389,67,1918,466,0.0,0,0,0,0,,0.0,,0.0
4,car,0.8382073044776917,2,1318,312,1395,371,0.0,0,0,0,0,,0.0,,0.0
4,car,0.4857816696166992,3,1230,314,1278,342,0.0,0,0,0,0,,0.0,,0.0
4,car,0.2878018319606781,4,1281,317,1319,343,0.0,0,0,0,0,,0.0,,0.0
4,car,0.27663901448249817,5,1273,315,1311,343,0.0,0,0,0,0,,0.0,,0.0
