epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4489,2.36923,4.40008,1.7442,0.00129,0.35714,0.00088,0.00055,1.75461,4.0171,1.32381,0.00022,0.00022,0.00022
2,27.8469,1.82288,3.92829,1.26975,0.00288,0.78571,0.0906,0.02855,1.18171,3.49626,1.01994,0.000454308,0.000454308,0.000454308
3,31.4249,1.78337,3.41176,1.3024,0.00309,0.85714,0.20554,0.04984,1.27418,3.49047,1.00601,0.000682675,0.000682675,0.000682675
4,34.9099,1.46935,2.73494,1.21823,0.00308,0.85714,0.39018,0.13393,1.26204,3.3331,1.01547,0.000905103,0.000905103,0.000905103
5,38.5297,1.58397,2.12992,1.24437,0.5912,0.07143,0.26254,0.15665,1.47962,3.15837,1.14622,0.00112159,0.00112159,0.00112159
6,42.1018,1.79482,2.33039,1.36729,0.77471,0.24959,0.4103,0.15147,1.57525,2.84208,1.1121,0.00133214,0.00133214,0.00133214
7,45.5143,1.77161,2.34424,1.23146,0.77471,0.24959,0.4103,0.15147,1.57525,2.84208,1.1121,0.00153675,0.00153675,0.00153675
8,49.0956,1.70996,2.21246,1.1684,0.7032,0.17417,0.22527,0.11418,1.41343,3.00232,1.04251,0.00173541,0.00173541,0.00173541
9,52.4999,1.70191,2.25839,1.23165,0.70343,0.5,0.57079,0.29833,1.48323,2.16999,1.10881,0.001802,0.001802,0.001802
10,55.9071,1.65282,2.15575,1.22471,0.77489,0.57143,0.65038,0.34072,1.50946,2.02644,1.20572,0.00177725,0.00177725,0.00177725
11,59.3881,1.61691,2.22793,1.21249,0.77489,0.57143,0.65038,0.34072,1.50946,2.02644,1.20572,0.0017525,0.0017525,0.0017525
12,62.8438,1.65374,2.04001,1.23261,0.65524,0.64286,0.68235,0.33067,1.57628,2.29337,1.42902,0.00172775,0.00172775,0.00172775
13,66.2395,1.68974,2.05241,1.37096,0.53421,0.85714,0.58866,0.34677,1.49345,2.01378,1.29884,0.001703,0.001703,0.001703
14,69.7395,1.51092,1.88624,1.1791,0.44576,0.64286,0.46144,0.21009,1.7688,2.20075,1.34265,0.00167825,0.00167825,0.00167825
15,73.1728,1.8204,2.50331,1.25087,0.44576,0.64286,0.46144,0.21009,1.7688,2.20075,1.34265,0.0016535,0.0016535,0.0016535
16,76.7513,1.65844,1.8609,1.24605,0.20073,0.71429,0.23899,0.10914,1.827,2.93572,1.29064,0.00162875,0.00162875,0.00162875
17,80.3042,1.62902,1.88082,1.25105,0.18391,0.78571,0.22644,0.10413,1.67532,3.45732,1.27977,0.001604,0.001604,0.001604
18,83.7531,1.46269,1.84322,1.20636,0.33746,0.92857,0.33021,0.19181,1.39684,2.5629,1.07236,0.00157925,0.00157925,0.00157925
19,87.0574,1.42942,1.65989,1.08684,0.33746,0.92857,0.33021,0.19181,1.39684,2.5629,1.07236,0.0015545,0.0015545,0.0015545
20,90.4872,1.49172,1.69801,1.14558,0.70805,0.64286,0.73522,0.45962,1.52916,2.06336,1.17162,0.00152975,0.00152975,0.00152975
21,93.943,1.5577,1.94047,1.18697,0.65637,0.81962,0.73452,0.38977,1.64382,2.21165,1.24185,0.001505,0.001505,0.001505
22,97.3682,1.36705,1.56466,1.12778,0.66094,0.8363,0.68401,0.36537,1.60953,2.3264,1.17594,0.00148025,0.00148025,0.00148025
